FECHA,PREDICCION_AGUA,ID_EMBALSE
2025-09-01,128.30648932509422,121
2025-10-01,128.31134212084888,121
2024-11-01,39.04507577738839,124
2024-12-01,39.040219922825386,124
2025-01-01,39.035202206443614,124
2025-02-01,39.030184490061856,124
2025-03-01,39.02565235913639,124
2025-04-01,39.020634642754615,124
2025-05-01,39.015778788191625,124
2025-06-01,39.01076107180985,124
2025-07-01,39.00590521724685,124
2025-08-01,39.00088750086509,124
2025-09-01,38.99586978448332,124
2025-10-01,38.991013929920314,124
2024-11-01,20.360450343824937,126
2024-12-01,20.328691941547504,126
2025-01-01,20.295874925860858,126
2025-02-01,20.263057910174098,126
2025-03-01,20.233416734715206,126
2025-04-01,20.200599719028446,126
2025-05-01,20.168841316751013,126
2025-06-01,20.136024301064367,126
2025-07-01,20.10426589878682,126
2025-08-01,20.071448883100174,126
2025-09-01,20.038631867413528,126
2025-10-01,20.006873465135982,126
2024-11-01,612.3276973481607,129
2024-12-01,612.1483254699679,129
2025-01-01,611.9629745291686,129
2025-02-01,611.7776235883684,129
2025-03-01,611.6102098353886,129
2025-04-01,611.4248588945884,129
2025-05-01,611.2454870163956,129
2025-06-01,611.0601360755954,129
2025-07-01,610.8807641974026,129
2025-08-01,610.6954132566034,129
2025-09-01,610.5100623158032,129
2025-10-01,610.3306904376104,129
2024-11-01,45.43852706415578,173
2024-12-01,45.49055883918527,173
2025-01-01,45.54432500671555,173
2025-02-01,45.59809117424584,173
2025-03-01,45.646654164273286,173
2025-04-01,45.70042033180357,173
2025-05-01,45.752452106832834,173
2025-06-01,45.806218274363346,173
2025-07-01,45.85825004939261,173
2025-08-01,45.91201621692289,173
2025-09-01,45.96578238445318,173
2025-10-01,46.01781415948267,173
2024-11-01,8.45897942951305,177
2024-12-01,8.4549368018493,177
2025-01-01,8.45075941993008,177
2025-02-01,8.446582038010874,177
2025-03-01,8.442808918858034,177
2025-04-01,8.438631536938814,177
2025-05-01,8.434588909275064,177
2025-06-01,8.430411527355844,177
2025-07-01,8.426368899692093,177
2025-08-01,8.422191517772873,177
2025-09-01,8.418014135853653,177
2025-10-01,8.413971508189903,177
2024-11-01,377.38715456768705,178
2024-12-01,377.44370556045783,178
2025-01-01,377.50214158632093,178
2025-02-01,377.56057761218426,178
2025-03-01,377.6133585387704,178
2025-04-01,377.6717945646335,178
2025-05-01,377.7283455574043,178
2025-06-01,377.7867815832676,178
2025-07-01,377.8433325760384,178
2025-08-01,377.9017686019017,178
2025-09-01,377.9602046277648,178
2025-10-01,378.0167556205356,178
2024-11-01,56.37392641211795,181
2024-12-01,56.42435509417601,181
2025-01-01,56.47646473230293,181
2025-02-01,56.528574370429624,181
2025-03-01,56.575641140350626,181
2025-04-01,56.62775077847732,181
2025-05-01,56.678179460535375,181
2025-06-01,56.7302890986623,181
2025-07-01,56.78071778072035,181
2025-08-01,56.832827418847046,181
2025-09-01,56.88493705697374,181
2025-10-01,56.93536573903202,181
2024-11-01,6.420771282569547,220
2024-12-01,6.430166102073343,220
2025-01-01,6.4398740822273055,220
2025-02-01,6.449582062381239,220
2025-03-01,6.45835056058479,220
2025-04-01,6.4680585407387525,220
2025-05-01,6.477453360242549,220
